File, 0 ICAs, 1 ICA, 2 ICAs, 3 ICAs, >3 ICAs, # distinct servers, Self-signed certs, non-CA certs, Certs w/o Subject, Distinct ICAs
../data/censys.io/certs_alexa/certs_alexa_20200602.json , 632 , 388071 , 82325 , 12418 , 579 , 484025 , 45738 , 3545 , 0 , 559
../data/censys.io/certs_alexa/certs_alexa_20200707.json , 1339 , 350178 , 74475 , 11661 , 685 , 438338 , 39543 , 6104 , 0 , 529
../data/censys.io/certs_alexa/certs_alexa_20200804.json , 629 , 318805 , 66524 , 11369 , 442 , 397769 , 38741 , 3252 , 0 , 508
../data/censys.io/certs_alexa/certs_alexa_20200901.json , 582 , 323014 , 67606 , 11680 , 380 , 403262 , 37071 , 3057 , 0 , 538
../data/censys.io/certs_alexa/certs_alexa_20201006.json , 816 , 480133 , 104064 , 16734 , 537 , 602284 , 58195 , 4258 , 0 , 574
../data/censys.io/certs_alexa/certs_alexa_20201103.json , 498 , 339441 , 62940 , 12496 , 442 , 415817 , 41138 , 3177 , 0 , 512
../data/censys.io/certs_alexa/certs_alexa_20201201.json , 1136 , 353411 , 73531 , 12878 , 580 , 441536 , 40064 , 6764 , 0 , 536
../data/censys.io/certs_alexa/certs_alexa_20210101.json , 1350 , 414144 , 90538 , 15209 , 719 , 521960 , 46379 , 7177 , 0 , 571
../data/censys.io/certs_alexa/certs_alexa_20210201.json , 1090 , 362439 , 75886 , 12994 , 693 , 453102 , 39501 , 6314 , 0 , 500
../data/censys.io/certs_alexa/certs_alexa_20210301.json , 1006 , 364351 , 77777 , 12973 , 627 , 456734 , 41062 , 6024 , 0 , 510
../data/censys.io/certs_alexa/certs_alexa_20210401.json , 809 , 469614 , 98482 , 17240 , 556 , 586701 , 50654 , 3714 , 0 , 538
../data/censys.io/certs_alexa/certs_alexa_20210501.json , 607 , 440865 , 92548 , 13469 , 502 , 547991 , 45668 , 3166 , 2 , 517
../data/censys.io/cisco_umbrella/certs_cisco_20200602.json , 52 , 56981 , 13216 , 5171 , 47 , 75467 , 11795 , 465 , 0 , 372
../data/censys.io/cisco_umbrella/certs_cisco_20200707.json , 43 , 54480 , 11887 , 4860 , 54 , 71324 , 11040 , 425 , 0 , 341
../data/censys.io/cisco_umbrella/certs_cisco_20200804.json , 52 , 52741 , 11353 , 4877 , 44 , 69067 , 10780 , 424 , 0 , 335
../data/censys.io/cisco_umbrella/certs_cisco_20200901.json , 42 , 53744 , 11603 , 5042 , 44 , 70475 , 11070 , 411 , 0 , 349
../data/censys.io/cisco_umbrella/certs_cisco_20201006.json , 63 , 64214 , 14228 , 6113 , 71 , 84689 , 13261 , 570 , 0 , 359
../data/censys.io/cisco_umbrella/certs_cisco_20201103.json , 44 , 57246 , 11475 , 5554 , 53 , 74372 , 11316 , 458 , 0 , 347
../data/censys.io/cisco_umbrella/certs_cisco_20201201.json , 54 , 57844 , 11905 , 5482 , 63 , 75348 , 11117 , 478 , 0 , 353
../data/censys.io/cisco_umbrella/certs_cisco_20210101.json , 53 , 62994 , 13129 , 5829 , 47 , 82052 , 12395 , 538 , 0 , 357
../data/censys.io/cisco_umbrella/certs_cisco_20210201.json , 48 , 59890 , 11432 , 5560 , 49 , 76979 , 10624 , 504 , 0 , 341
../data/censys.io/cisco_umbrella/certs_cisco_20210301.json , 58 , 56084 , 10878 , 5263 , 34 , 72317 , 9999 , 431 , 0 , 335
../data/censys.io/cisco_umbrella/certs_cisco_20210401.json , 62 , 67689 , 14042 , 7044 , 65 , 88902 , 12748 , 569 , 0 , 349
../data/censys.io/cisco_umbrella/certs_cisco_20210501.json , 49 , 66686 , 13554 , 7020 , 61 , 87370 , 12122 , 542 , 0 , 336
